unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1632268500,2021-09-21 23:55:00,BTC/USD,40685.52,40728.84,40570.43,40592.05,2.49131873,101127.73445409651
1632268440,2021-09-21 23:54:00,BTC/USD,40541.64,40692.43,40520.23,40692.43,0.93176788,37915.8992331484
1632268380,2021-09-21 23:53:00,BTC/USD,40477.08,40550.00,40477.08,40550.00,5.53948930,224626.29111499997
1632268320,2021-09-21 23:52:00,BTC/USD,40506.21,40506.22,40425.10,40494.39,1.55255866,62869.9158759174
1632268260,2021-09-21 23:51:00,BTC/USD,40373.72,40444.05,40351.99,40444.05,1.31235000,53076.7490175
1632268200,2021-09-21 23:50:00,BTC/USD,40373.26,40454.28,40352.08,40447.17,1.16546602,47139.8022401634
1632268140,2021-09-21 23:49:00,BTC/USD,40449.71,40449.71,40283.72,40283.72,4.42626893,178306.57822081962
1632268080,2021-09-21 23:48:00,BTC/USD,40632.60,40641.46,40456.74,40456.74,0.98000128,39647.656984627196
1632268020,2021-09-21 23:47:00,BTC/USD,40474.63,40645.46,40474.63,40583.68,2.06066078,83629.1976840704
1632267960,2021-09-21 23:46:00,BTC/USD,40429.47,40474.51,40324.34,40474.51,5.98769184,242348.8932549984
1632267900,2021-09-21 23:45:00,BTC/USD,40351.37,40453.31,40322.84,40453.31,1.06507585,43085.84353356349
1632267840,2021-09-21 23:44:00,BTC/USD,40280.23,40327.21,40256.16,40327.21,2.96643865,119628.19439066651
1632267780,2021-09-21 23:43:00,BTC/USD,40354.04,40415.97,40340.24,40340.24,1.58015105,63743.672593252
1632267720,2021-09-21 23:42:00,BTC/USD,40264.92,40375.78,40198.64,40316.54,3.55127690,143175.197189926
1632267660,2021-09-21 23:41:00,BTC/USD,40326.55,40336.99,40179.46,40279.32,5.72695162,230677.71692649843
1632267600,2021-09-21 23:40:00,BTC/USD,40356.89,40395.00,40245.50,40331.98,4.89530526,197437.3538402148
1632267540,2021-09-21 23:39:00,BTC/USD,40497.46,40497.46,40353.76,40365.53,0.92138739,37192.2903326667
1632267480,2021-09-21 23:38:00,BTC/USD,40509.58,40573.50,40459.07,40459.07,12.63293341,511116.7371405287
1632267420,2021-09-21 23:37:00,BTC/USD,40482.19,40559.00,40441.61,40517.25,1.33310549,54013.7684147025
1632267360,2021-09-21 23:36:00,BTC/USD,40439.02,40496.36,40414.49,40485.51,1.32287771,53557.3787569821
1632267300,2021-09-21 23:35:00,BTC/USD,40416.45,40470.65,40406.26,40406.26,0.11413981,4611.9628392106
1632267240,2021-09-21 23:34:00,BTC/USD,40362.03,40447.18,40293.69,40376.26,4.00976075,161899.142579795
1632267180,2021-09-21 23:33:00,BTC/USD,40450.48,40532.59,40350.00,40395.26,5.97845287,241501.15808139622
1632267120,2021-09-21 23:32:00,BTC/USD,40481.48,40519.22,40420.00,40460.05,2.30964968,93448.541535284
1632267060,2021-09-21 23:31:00,BTC/USD,40563.80,40563.80,40452.12,40467.06,1.19807000,48482.370574199995
1632267000,2021-09-21 23:30:00,BTC/USD,40601.44,40601.44,40452.12,40452.12,2.81527108,113883.6835606896
1632266940,2021-09-21 23:29:00,BTC/USD,40724.14,40728.54,40630.70,40635.46,0.09768042,3969.2887996932
1632266880,2021-09-21 23:28:00,BTC/USD,40662.46,40845.69,40640.11,40722.99,1.39256309,56709.33278843909
1632266820,2021-09-21 23:27:00,BTC/USD,40644.57,40679.20,40629.43,40679.20,0.11722000,4768.415824
1632266760,2021-09-21 23:26:00,BTC/USD,40582.36,40645.46,40563.24,40640.98,3.13557394,127432.79778406121
1632266700,2021-09-21 23:25:00,BTC/USD,40481.02,40594.75,40481.02,40594.75,4.51277546,183194.991604835
1632266640,2021-09-21 23:24:00,BTC/USD,40618.08,40618.08,40431.91,40447.32,1.30038317,52597.0141996044
1632266580,2021-09-21 23:23:00,BTC/USD,40499.48,40623.01,40499.48,40623.01,0.09972000,4050.9265572000004
1632266520,2021-09-21 23:22:00,BTC/USD,40475.96,40577.01,40450.77,40562.81,1.35504721,54964.52252026009
1632266460,2021-09-21 23:21:00,BTC/USD,40450.94,40507.33,40450.94,40494.89,0.06035467,2444.0557226363
1632266400,2021-09-21 23:20:00,BTC/USD,40641.64,40641.64,40537.79,40592.00,0.73413360,29799.9510912
1632266340,2021-09-21 23:19:00,BTC/USD,40501.03,40557.87,40488.65,40551.95,3.57089051,144806.57341699448
1632266280,2021-09-21 23:18:00,BTC/USD,40630.00,40630.00,40498.98,40517.15,2.43990427,98857.9672932305
1632266220,2021-09-21 23:17:00,BTC/USD,40770.04,40770.04,40645.46,40647.41,2.97426897,120896.3302738677
1632266160,2021-09-21 23:16:00,BTC/USD,40834.43,40834.43,40761.95,40772.65,2.78711926,113638.238096239
1632266100,2021-09-21 23:15:00,BTC/USD,40816.51,40966.89,40816.51,40852.05,6.06084237,247597.8355413585
1632266040,2021-09-21 23:14:00,BTC/USD,40948.92,40961.31,40850.92,40854.09,1.18649097,48473.00887256729
1632265980,2021-09-21 23:13:00,BTC/USD,41011.37,41063.18,40944.33,40948.92,6.13980824,251418.51643510078
1632265920,2021-09-21 23:12:00,BTC/USD,40985.86,41038.89,40954.78,41034.23,4.10765603,168554.50229590692
1632265860,2021-09-21 23:11:00,BTC/USD,40837.72,40988.11,40821.07,40957.45,3.21126295,131525.14171147748
1632265800,2021-09-21 23:10:00,BTC/USD,40779.71,40910.47,40779.71,40848.84,2.89454794,118238.92567338959
1632265740,2021-09-21 23:09:00,BTC/USD,40655.84,40777.59,40655.84,40771.61,2.37041200,96645.51360332
